Product Line Id,Product Line Name,Product Family Id,Serial Pattern,Serial Hint
cff06df1-2a3b-55b5-8772-558190c7c6b3,Audio Cables,3fc430f0-acc7-58d2-9d92-8ba11e484b19,,
a098f8d6-3016-57af-aa18-cdae3354e773,Ethernet Cables,3fc430f0-acc7-58d2-9d92-8ba11e484b19,,
084fb311-3edd-5cc8-bc85-819f68f903b8,HDMI Cables,3fc430f0-acc7-58d2-9d92-8ba11e484b19,,
7706b031-b6bf-5774-a835-ccfdaaf244bf,USB Cables,3fc430f0-acc7-58d2-9d92-8ba11e484b19,,
7b8cb5ab-8c55-5c7e-b210-5533c69bd585,Keyboards,b67bf9ee-e2d0-5487-8f68-05b1b54b82cd,,
10fd79b9-b309-5950-8b34-349128b440fc,Mice,b67bf9ee-e2d0-5487-8f68-05b1b54b82cd,,
9478298d-c2c5-5531-bff9-f05be5046c08,Microphones,b67bf9ee-e2d0-5487-8f68-05b1b54b82cd,,
f8a3f5f7-96a5-5c4f-bdca-f31a0acc44b4,Webcams,b67bf9ee-e2d0-5487-8f68-05b1b54b82cd,,
67072fa5-23a7-556e-9d19-34fd9f741112,Power Banks,8ebf0663-59ff-5013-aabb-885a927d7689,,
421bd203-2db7-53de-ab96-e6f2430a259d,Solar Chargers,8ebf0663-59ff-5013-aabb-885a927d7689,,
bc0a77c9-5c65-5e05-bdea-7f87ba9bed66,Surge Protectors,8ebf0663-59ff-5013-aabb-885a927d7689,,
367d6257-6840-5d0e-875d-8d2c920c553c,UPS,8ebf0663-59ff-5013-aabb-885a927d7689,,
938db37c-c463-5b7a-aed8-d138c6d77c82,External Hard Drives,c8d7bd2e-6a45-595f-ae8a-6b7709344c98,,
0b19b454-d89d-5cfc-97d5-5d17660d796e,Memory Cards,c8d7bd2e-6a45-595f-ae8a-6b7709344c98,,
efedbcbb-3c2c-5486-a42d-2582d66e6057,SSDs,c8d7bd2e-6a45-595f-ae8a-6b7709344c98,,
7558a8b1-bd80-5c3d-9551-46ac9a44420c,USB Flash Drives,c8d7bd2e-6a45-595f-ae8a-6b7709344c98,,
ebb33dfb-659e-5a5d-940c-d1abbb4a2769,Car Amplifiers,31df6bb3-f2f2-5819-af67-e6a1c5e4e795,,
36b7fb64-77f7-58c9-a1ad-2330f78aad34,Car Speakers,31df6bb3-f2f2-5819-af67-e6a1c5e4e795,,
d3d55841-55b2-5acf-88eb-f7437fd81471,Car Stereos,31df6bb3-f2f2-5819-af67-e6a1c5e4e795,,
3af8bdc5-fcf5-573a-8301-53d63f6166b1,Car Subwoofers,31df6bb3-f2f2-5819-af67-e6a1c5e4e795,,
