Department Id,Department Key,Department Name
fe38a0a4-b844-42ff-b8b1-7fa1d20e55e7,customer-success,Customer Success
9be4c13b-2de3-4ce0-a80f-0ff4c3642dee,data-analytics,Data & Analytics
65c554ec-bcb0-4710-a822-d497d41bc806,design,Design
7451dbe2-f8ad-49fc-8f95-63b123da6a08,engineering,Engineering
1156b2a9-9c0e-4cd6-9ca3-2023a0d4c0de,finance,Finance
701d6e57-3f8b-4783-984c-c3a5e26bea5f,it-security,IT & Security
f0c008a1-a598-4fb4-859e-6be7dcda86a3,marketing,Marketing
02f56939-9e6d-4f21-9896-187b5b81bd96,operations,Operations
c6fc454f-772c-476e-ade0-58c6ebbee7e0,product,Product
41a12fd5-f99d-48a7-a4c2-d3ba4c84dbf8,sales,Sales
b195348a-d442-42b2-b915-1299b266a398,system,System
