Snapshot Date,Store Id,Product Id,Cost per Unit,Units on Hand,Units on Order,Units in Transit,Units Received,Units Shrunk,Reorder Point,Max Stock Level,Days of Supply,Inventory Value,Is Stockout,Is Low Stock,Lost Sales Units,Lost Sales Value,Lead Time Days,Merchant Id
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,d86a8099-fb6d-5a5e-ad4f-d440df4e4b86,3.5,236,0,0,0,1,45,363,78.49,826.0,false,false,0,0.0,5,SUP-007
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,ea257e61-f8a7-56c0-a0e6-ca3dc7063016,884.34,351,0,0,0,2,21,481,435.72,310403.34,false,false,0,0.0,10,SUP-002
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,86eee8ac-8f54-5392-8613-dc790d6d8850,16.7,199,0,0,0,0,46,263,124.4,3323.3,false,false,0,0.0,5,SUP-001
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,28fd2ff3-5c12-542f-852f-1d22d57edaca,348.32,299,0,0,0,0,49,472,577.39,104147.68,false,false,0,0.0,10,SUP-008
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,5b65bc87-f47a-5c88-9032-c9de20570ae1,693.26,236,0,0,0,0,40,334,273.76,163609.36,false,false,0,0.0,10,SUP-002
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,e9f08475-9167-5820-b72d-be5e6f661498,276.82,241,0,0,0,0,49,372,285.56,66713.62,false,false,0,0.0,12,SUP-006
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,0124aa98-2e97-5992-9880-98d7a06af424,2335.78,360,0,0,0,0,37,398,1019.66,840880.8,false,false,0,0.0,14,SUP-004
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,eb96e32b-faab-57cc-becb-c1811daf2f76,322.22,291,0,0,0,0,28,374,274.02,93766.02,false,false,0,0.0,7,SUP-003
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,f6f97c30-bcb4-5e5c-9844-5ed4025a4027,1631.52,391,0,0,0,0,38,472,461.0,637924.32,false,false,0,0.0,10,SUP-002
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,8d5139ac-c85d-596c-98d1-0352d23257f6,77.25,151,0,0,0,1,39,250,179.12,11664.75,false,false,0,0.0,10,SUP-002
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,24bb3b3b-c4a2-5daf-8985-af18db90edc5,350.18,339,0,0,0,1,24,419,334.78,118711.02,false,false,0,0.0,7,SUP-003
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,156cf649-87b4-59a6-9b2f-dfe708affea0,175.82,431,0,0,0,0,26,493,525.5,75778.42,false,false,0,0.0,7,SUP-003
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,55870660-1f84-5182-8241-ae24689fd713,66.71,226,0,0,0,0,29,266,211.55,15076.46,false,false,0,0.0,7,SUP-003
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,a94b1171-2b1c-55ad-a32c-527db66a9a5d,449.6,249,0,0,0,0,36,276,357.93,111950.4,false,false,0,0.0,10,SUP-008
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,e1db5295-766b-543d-9f54-06b9c61943e4,134.71,215,0,0,0,0,24,342,296.69,28962.65,false,false,0,0.0,10,SUP-008
2022-07-24 00:00:00,faa1cde9-cfe0-506a-b028-9c08245fc32c,98ef4668-a46b-5c7a-91f5-83b0fbd5bfb8,19.83,318,0,0,0,0,43,418,94.2,6305.94,false,false,0,0.0,5,SUP-001
