Brand Id,Brand Name,Serial Pattern,Serial Hint
ac2b3e25-3db9-52e7-9def-e41924e8b487,AKASO,,
c669d225-d10a-5d4a-b459-fa4e7f969ffe,AKG,,
a8697d6f-0c1d-5af6-87af-b6b136d6d040,AKRacing,,
15a4ac84-2e87-52b1-b4c4-e9b3b829ecf1,APC,,
bfb6e572-54ab-531a-8083-845d72213eb3,ASUS,^[A-Z0-9]{12}$,"12 letters or numbers, e.g. C02XK1ZQJGH5"
cbe1ac83-f039-5d8e-86b1-78ca4bc3fe6c,ASUS ROG,,
0d320725-61fc-5d4a-964f-059a8b8df4b9,AUKEY,,
fffa0a0f-c029-508a-956f-c992e5c0b1f1,Acer,,
4c6654fd-d36d-5bc6-9033-0750345494c3,Acer Predator,,
0478be66-a9b5-5e0b-bb75-204f1b66cabd,Alienware,,
6e2437fc-1306-5d08-ba7a-85782dfab698,Alpine,,
82575fb3-03f1-5037-b354-ee70c95808a2,Amazon,,
f38da530-8789-5400-97bb-a60e608832dc,Amazon Basics,,
99dfdfdc-5d5b-5659-9e88-d54bb32ecfee,AmazonBasics,,
17113e99-78a2-5452-acb1-9f575061b948,Anker,,
6072b680-f5b8-5923-9774-63a0c284baff,AnkerWork,,
8a378c91-6cad-5602-a8c7-39d7ac4d72cd,Apple,^[A-Z0-9]{12}$,"12 letters or numbers, e.g. C02XK1ZQJGH5"
eba5e1e0-c466-58a0-bc74-143e8937ac64,Asustor,,
48899926-6f3f-5109-bff1-00c0e2edaa68,Audio-Technica,,
81929930-3c0e-59bc-954c-a586973a1806,AudioQuest,,
e3313c78-ab61-5258-92f3-d18ec8418fbd,August,,
56632998-6b8c-5651-94f5-a7c99c09b27d,Beats,,
8566dbbd-6485-5e95-80e4-094ef426900a,Belkin,,
7d4dcf8a-3ef2-514b-9bf5-220e66740533,BenQ,,
6c2492fc-2749-52af-b860-e5df640c03dd,Blue,,
818c875c-d046-56f1-b319-f96dad2ac0b9,Bose,,
4d61fdd0-88e4-5d93-a64c-0eafa15247d2,Brother,,
7d25a089-ac4d-57a4-8816-ddf6abdcc5a7,Buffalo,,
3d47223f-30c4-5ffc-a769-86c0cbca4e18,Cable Matters,,
d1c5a550-b8f4-5731-9171-d0fcd69c3fba,Canon,,
85386a72-8931-545b-b105-3ef12e89b790,Casablanca,,
