Product Id,Sku Number,Product Name,Product Line Id,Brand Id
f3c38b64-3c37-5aab-be2a-dc0f2d6ac1f4,AC-AK-0000001855,AKG Microphones Z976,9478298d-c2c5-5531-bff9-f05be5046c08,c669d225-d10a-5d4a-b459-fa4e7f969ffe
ac51a9a3-eb0e-56fc-b673-1c41ad73b98a,AC-AM-0000001679,Amazon Basics USB Cables E396,7706b031-b6bf-5774-a835-ccfdaaf244bf,f38da530-8789-5400-97bb-a60e608832dc
f42c5beb-c0a9-50cb-b91b-a109be41ef8d,AC-AM-0000001736,AmazonBasics Ethernet Cables E883,a098f8d6-3016-57af-aa18-cdae3354e773,99dfdfdc-5d5b-5659-9e88-d54bb32ecfee
4196d450-859b-5805-a18c-c937c0be5b3a,AC-AM-0000001737,AmazonBasics Ethernet Cables W406,a098f8d6-3016-57af-aa18-cdae3354e773,99dfdfdc-5d5b-5659-9e88-d54bb32ecfee
d72c15d1-b301-59ab-b7b2-f57d0cacd242,AC-AN-0000001594,Anker Power Banks M669,67072fa5-23a7-556e-9d19-34fd9f741112,17113e99-78a2-5452-acb1-9f575061b948
aad9bda6-aeae-5fc5-8321-75baae98ec39,AC-AN-0000001596,Anker Power Banks U227,67072fa5-23a7-556e-9d19-34fd9f741112,17113e99-78a2-5452-acb1-9f575061b948
e1d990e6-2d8c-5b32-99fd-86987c5b8fbd,AC-AN-0000001674,Anker USB Cables C659,7706b031-b6bf-5774-a835-ccfdaaf244bf,17113e99-78a2-5452-acb1-9f575061b948
59cda184-2e64-5ccf-b5e2-f5de1785ea2e,AC-AN-0000001829,AnkerWork Webcams V529,f8a3f5f7-96a5-5c4f-bdca-f31a0acc44b4,6072b680-f5b8-5923-9774-63a0c284baff
ddd3f936-bec7-5132-b6ac-97ece8b061fc,AC-AN-0000001830,AnkerWork Webcams Z264,f8a3f5f7-96a5-5c4f-bdca-f31a0acc44b4,6072b680-f5b8-5923-9774-63a0c284baff
f03ffd00-0717-51e3-a669-c33517c1aff9,AC-AP-0000001617,APC Surge Protectors Q845,bc0a77c9-5c65-5e05-bdea-7f87ba9bed66,15a4ac84-2e87-52b1-b4c4-e9b3b829ecf1
39eedb60-7215-5086-8894-1fb9c6ffd000,AC-AP-0000001618,APC Surge Protectors D641,bc0a77c9-5c65-5e05-bdea-7f87ba9bed66,15a4ac84-2e87-52b1-b4c4-e9b3b829ecf1
370ed2f2-dd76-58c1-96e4-d46de7725c9e,AC-AP-0000001636,APC UPS E626,367d6257-6840-5d0e-875d-8d2c920c553c,15a4ac84-2e87-52b1-b4c4-e9b3b829ecf1
dfbb15c0-61df-5de3-906c-bc8eb674c867,AC-AU-0000001603,AUKEY Power Banks W420,67072fa5-23a7-556e-9d19-34fd9f741112,0d320725-61fc-5d4a-964f-059a8b8df4b9
6254dd3b-d066-5b02-beb5-7ee8044f73d4,AC-AU-0000001672,AUKEY Solar Chargers D233,421bd203-2db7-53de-ab96-e6f2430a259d,0d320725-61fc-5d4a-964f-059a8b8df4b9
67cf6781-f7d3-5a82-94f2-536c1ea92930,AC-AU-0000001702,AudioQuest HDMI Cables T202,084fb311-3edd-5cc8-bc85-819f68f903b8,81929930-3c0e-59bc-954c-a586973a1806
f477f846-3dc0-524e-884a-b5db57c0ff14,AC-AU-0000001838,Audio-Technica Microphones Q509,9478298d-c2c5-5531-bff9-f05be5046c08,48899926-6f3f-5109-bff1-00c0e2edaa68
814b3def-adf5-502e-9fc3-23976bbcaa95,AC-BE-0000001604,Belkin Power Banks W201,67072fa5-23a7-556e-9d19-34fd9f741112,8566dbbd-6485-5e95-80e4-094ef426900a
0ce47dc0-0b19-5ecf-81a8-13f87922b015,AC-BE-0000001621,Belkin Surge Protectors M588,bc0a77c9-5c65-5e05-bdea-7f87ba9bed66,8566dbbd-6485-5e95-80e4-094ef426900a
