Job Title Id,Job Title Key,Job Title Name,Department Id
c106baf2-30b4-4e0e-86f1-cc5a13ef390a,account-executive,Account Executive,41a12fd5-f99d-48a7-a4c2-d3ba4c84dbf8
92a3a80c-a849-400f-af09-583f77539f44,accountant,Accountant,1156b2a9-9c0e-4cd6-9ca3-2023a0d4c0de
079fdeb3-1809-4a93-af57-c79279a588db,analytics-engineer,Analytics Engineer,9be4c13b-2de3-4ce0-a80f-0ff4c3642dee
627296d5-9796-466d-896b-03b066446030,business-operations-lead,Business Operations Lead,02f56939-9e6d-4f21-9896-187b5b81bd96
58c88a08-1afe-456e-802e-ee824151bac7,coo,COO,02f56939-9e6d-4f21-9896-187b5b81bd96
e62a3f06-ef11-46f4-be18-2d4c6bea66d1,content-marketing-specialist,Content Marketing Specialist,f0c008a1-a598-4fb4-859e-6be7dcda86a3
247b4f90-a788-42db-aa4b-a6971c97276a,controller,Controller,1156b2a9-9c0e-4cd6-9ca3-2023a0d4c0de
c7288f27-5e2d-4127-bd5c-4f5d689818d6,creative-director,Creative Director,65c554ec-bcb0-4710-a822-d497d41bc806
73c95403-e79d-4977-81ab-61fb0990b476,customer-success-manager,Customer Success Manager,fe38a0a4-b844-42ff-b8b1-7fa1d20e55e7
ab074628-2616-43c7-b1c0-65ddb8663f82,data-analyst,Data Analyst,9be4c13b-2de3-4ce0-a80f-0ff4c3642dee
d6bc34b5-23b3-4f72-9d16-0919e21b2a64,data-scientist,Data Scientist,9be4c13b-2de3-4ce0-a80f-0ff4c3642dee
85fa7775-0bed-40d7-b3a9-f2d5e11f4d39,design-lead,Design Lead,65c554ec-bcb0-4710-a822-d497d41bc806
ffeacc1a-d6b1-4c18-9e27-4ad0d78d0529,director-of-analytics,Director of Analytics,9be4c13b-2de3-4ce0-a80f-0ff4c3642dee
9aef9125-80c7-46b9-b89c-caba1839cdf4,director-of-customer-success,Director of Customer Success,fe38a0a4-b844-42ff-b8b1-7fa1d20e55e7
e4b7cbd1-c915-4592-abfa-3952bf689595,director-of-it-security,Director of IT & Security,701d6e57-3f8b-4783-984c-c3a5e26bea5f
1dce92dd-f39e-4803-a093-80ac3b834af4,director-of-operations,Director of Operations,02f56939-9e6d-4f21-9896-187b5b81bd96
